year,month,day,hour,minute,cause,text,status
2017,1,3,18,4,交通意外,新田公路去上水,清理
2017,1,3,18,0,交通意外,荃灣路去屯門,最新
2017,1,3,17,58,交通意外,新田公路去上水,跟進
2017,1,3,17,32,交通意外,東區走廊去中環,清理
2017,1,3,17,30,交通意外,新田公路去上水,最新
2017,1,3,17,28,交通意外,東區走廊去中環,跟進
2017,1,3,17,9,壞車,司徒拔道近港安醫院迴旋處,清理
2017,1,3,17,6,交通意外,東區走廊去中環,最新
2017,1,3,17,3,交通意外,獅子山隧道去九龍,最新
2017,1,3,16,39,交通意外,將軍澳隧道去觀塘,清理
2015,8,10,19,20,壞車,獅子山隧道去沙田,最新
2015,8,10,18,58,突發事件,電氣道去渣華道,清理
2015,8,10,18,57,壞車,西貢公路去九龍,清理
2015,8,10,17,5,交通意外,窩打老道去沙田,清理
2015,8,10,17,4,突發事件,電氣道去渣華道,最新
2015,8,10,17,3,壞車,西貢公路去九龍,最新
2015,8,10,16,54,交通意外,窩打老道去沙田,最新
2015,8,10,16,29,交通意外,大潭道去赤柱,清理
2015,8,10,16,29,交通意外,大潭道去赤柱,跟進
2015,8,10,16,0,交通意外,大潭道去赤柱,最新
2015,8,10,15,38,壞車,龍翔道去荃灣,清理
2015,8,10,15,30,壞車,龍翔道去荃灣,跟進
2015,8,10,10,26,交通意外,亞皆老街去觀塘,清理
2015,8,10,10,11,壞車,太子道東去觀塘,清理
2015,8,10,10,9,交通意外,汀九橋去屯門,跟進
2015,8,10,10,8,交通意外,汀九橋去屯門,最新
2015,8,10,9,39,壞車,太子道東去觀塘,跟進
2015,8,10,9,37,交通意外,荔枝角道去美孚,清理
2015,8,10,9,36,壞車,太子道東去觀塘,最新
2015,8,10,9,28,交通意外,荔枝角道去美孚,最新
2015,8,10,9,4,交通意外,屯門公路去荃灣,清理
2015,8,10,9,0,交通意外,屯門公路去荃灣,最新
2015,8,10,7,33,交通意外,加士居道天橋去油麻地,清理
2015,8,10,7,27,交通意外,加士居道天橋去油麻地,最新
2015,8,9,23,22,交通意外,呈祥道去觀塘,清理
2015,8,9,22,51,交通意外,呈祥道去觀塘,最新
2015,8,9,18,35,交通意外,呈祥道去觀塘,清理
2015,8,9,17,36,交通意外,窩打老道去沙田,清理
2015,8,9,17,14,壞車,告士打道去跑馬地,清理
2015,8,9,16,34,交通意外,呈祥道去觀塘,最新
2015,8,9,16,0,壞車,龍翔道去荃灣,最新
2015,8,9,15,58,交通意外,亞皆老街去觀塘,最新
2015,8,9,15,32,交通意外,英皇道去柴灣,清理
2015,8,9,15,31,交通意外,英皇道去柴灣,最新
2015,8,8,22,11,交通意外,干諾道中去灣仔,清理
2015,8,8,21,10,交通意外,啟德隧道去觀塘,清理
2015,8,8,19,12,交通意外,皇珠路去屯門碼頭,清理
2015,8,8,19,5,交通意外,啟德隧道去觀塘,最新
2015,8,8,18,41,交通意外,皇珠路去屯門碼頭,最新
2015,8,8,18,39,交通意外,干諾道中去西環,最新
2015,8,8,18,38,交通意外,康莊道去油麻地,清理
2015,8,8,18,36,交通意外,康莊道去油麻地,最新
2015,8,8,17,27,交通意外,告士打道去跑馬地,清理
2015,8,8,17,1,交通意外,告士打道去跑馬地,最新
2015,8,8,15,43,火警,中環永和街,清理
2015,8,8,15,27,強風管制,青馬大橋,清理
2015,8,8,14,34,壞車,告士打道去跑馬地,最新
2015,8,8,14,24,交通意外,窩打老道去沙田,最新
2015,8,8,14,21,強風管制,青馬大橋,最新
2015,8,8,14,16,交通繁忙,黃竹坑道去海洋公園,跟進
2015,8,8,13,33,交通繁忙,黃竹坑道去海洋公園,最新
2015,8,8,11,33,交通意外,屯門公路去九龍,清理
2015,8,8,11,0,交通意外,屯門公路去九龍,最新
2015,8,8,8,18,壞車,龍翔道去荃灣,清理
2015,8,8,8,0,路陷,土瓜灣貴州街,跟進
2015,8,7,19,6,壞車,龍翔道去荃灣,最新
2015,8,7,18,58,交通意外,觀塘道去龍翔道,清理
2015,8,7,18,28,交通意外,觀塘道去龍翔道,最新
2015,8,7,17,58,壞車,大埔公路去大埔,清理
2015,8,7,17,35,壞車,大埔公路去大埔,最新
2015,8,7,16,27,交通意外,黃竹坑道去香港仔,清理
2015,8,7,16,2,交通意外,黃竹坑道去香港仔,最新
2015,8,7,15,9,交通繁忙,黃竹坑道去海洋公園,清理
2015,8,7,15,3,火警,中環永和街,最新
2015,8,7,14,2,壞車,呈祥道去荃灣,最新
2015,8,7,14,0,壞車,紅隧過香港,最新
2015,8,7,13,38,交通意外,龍翔道去荃灣,清理
2015,8,7,13,37,交通意外,亞皆老街去大角咀,清理
2015,8,7,13,22,修路工程,觀塘繞道去觀塘,清理
2015,8,7,12,58,交通意外,亞皆老街去大角咀,最新
2015,8,7,12,41,交通意外,龍翔道去荃灣,最新
2015,8,7,12,33,壞車,獅子山隧道公路去九龍,清理
2015,8,7,12,32,壞車,獅子山隧道公路去九龍,最新
2015,8,7,11,41,交通意外,將軍澳道去觀塘,清理
2015,8,7,11,8,修路工程,觀塘繞道去觀塘,最新
2015,8,7,11,4,交通意外,將軍澳道去觀塘,最新
2015,8,7,10,57,交通意外,觀塘繞道去鯉魚門,清理
2015,8,7,10,29,壞車,太子道東去觀塘,清理
2015,8,7,9,59,壞車,呈祥道去荃灣,清理
2015,8,7,9,36,壞車,紅隧過香港,清理
2015,8,7,9,34,交通意外,大埔道去九龍,跟進
2015,8,7,9,32,壞車,太子道東去觀塘,最新
2015,8,7,9,7,交通意外,大埔道去九龍,最新
2015,8,7,9,6,爆水管,皇后大道西近東邊街,清理
2015,8,7,8,35,壞車,獅子山隧道去沙田,清理
2015,8,6,21,0,交通意外,馬頭圍道去九龍城,清理
2015,8,6,20,1,爆水管,柯士甸道去紅磡,清理
2015,8,6,19,56,壞車,東區走廊去中環,清理
2015,8,6,19,38,交通意外,告士打道去北角,清理
2015,8,6,19,36,交通意外,界限街去九龍城,清理
2015,8,6,19,35,壞車,獅子山隧道去沙田,最新
2015,8,6,19,31,壞車,荃灣路去荃灣,清理
2015,8,6,19,30,交通意外,界限街去九龍城,最新
2015,8,6,19,24,壞車,荃灣路去荃灣,最新
2015,8,6,19,4,交通意外,觀塘繞道去鯉魚門,最新
2015,8,6,19,3,交通意外,大埔道去九龍,清理
2015,8,6,19,2,交通意外,告士打道去北角,最新
2015,8,6,18,30,交通意外,黃竹坑道去香港仔,清理
2015,8,6,18,10,壞車,長青隧道去機場,清理
2015,8,6,16,4,交通意外,彩虹道去慈雲山,清理
2015,8,6,16,1,壞車,長青隧道去機場,最新
2015,8,6,15,45,交通意外,彩虹道去慈雲山,最新
2015,8,6,15,28,交通意外,黃竹坑道去香港仔,最新
2015,8,6,15,26,交通意外,吐露港公路去九龍,清理
2015,8,6,15,15,交通意外,皇后大道中去上環,清理
2015,8,6,14,33,交通意外,大角咀海泓道去深水埗,清理
2015,8,6,14,28,交通意外,皇后大道中去上環,最新
2015,8,6,14,5,交通意外,呈祥道去荃灣,清理
2015,8,6,14,3,交通意外,吐露港公路去九龍,最新
2015,8,6,13,57,交通意外,大角咀海泓道去深水埗,最新
2015,8,6,13,40,壞車,東區走廊去中環,最新
2015,8,6,13,38,交通意外,馬頭圍道去九龍城,最新
2015,8,6,13,20,交通意外,獅子山隧道去九龍,清理
2015,8,6,13,1,交通意外,窩打老道去沙田,最新
2015,8,6,12,34,交通意外,獅子山隧道去九龍,最新
2015,8,6,12,22,壞車,西隧去香港,清理
2015,8,6,12,15,壞車,西隧去香港,最新
2015,8,6,10,19,交通意外,青馬大橋去九龍,清理
2015,8,6,9,46,交通意外,青馬大橋去九龍,跟進
2015,8,6,8,29,爆水管,皇后大道西近東邊街,跟進
2015,8,6,8,0,爆水管,皇后大道西近東邊街,最新
2015,8,6,7,52,交通意外,青馬大橋去九龍,最新
2015,8,6,6,21,壞車,東隧過香港,清理
2015,8,6,6,18,壞車,東隧過香港,最新
2015,8,5,20,0,爆水管,柯士甸道去紅磡,最新
2015,8,5,19,44,壞車,觀塘繞道去鯉魚門,清理
2015,8,5,19,25,交通意外,呈祥道去荃灣,最新
2015,8,5,17,20,交通意外,窩打老道去沙田,清理
2015,8,5,17,0,交通意外,協和街去觀塘道,最新
2015,8,5,16,58,壞車,漆咸道北去油麻地,清理
2015,8,5,16,29,交通意外,漆咸道北去尖沙咀,清理
2015,8,5,15,5,壞車,漆咸道北去油麻地,最新
2015,8,5,14,55,交通意外,漆咸道北去尖沙咀,跟進
2015,8,5,14,30,壞車,紅隧過海,清理
2015,8,5,14,18,交通意外,漆咸道北去尖沙咀,最新
2015,8,5,14,5,壞車,紅隧過海,最新
2015,8,5,14,3,交通意外,德士古道迴旋處去青衣,清理
2015,8,5,13,39,交通意外,德士古道迴旋處去青衣,最新
2015,8,5,12,29,交通意外,莊士敦道去銅鑼灣,清理
2015,8,5,12,20,交通意外,莊士敦道去銅鑼灣,最新
2015,8,5,12,16,交通意外,荃灣路去九龍,清理
2015,8,5,11,27,交通意外,荃灣路去九龍,最新
2015,8,5,11,4,交通意外,協和街去觀塘道,清理
2015,8,5,10,15,壞車,觀塘繞道去鯉魚門,最新
2015,8,5,9,53,交通意外,觀塘繞道去鯉魚門,清理
2015,8,5,9,35,交通意外,觀塘繞道去鯉魚門,跟進
2015,8,4,20,54,交通意外,觀塘繞道去鯉魚門,最新
2015,8,4,20,32,交通意外,粉嶺公路去上水,清理
2015,8,4,20,3,交通意外,粉嶺公路去上水,最新
2015,8,4,19,35,交通意外,粉嶺公路去上水,清理
2015,8,4,19,8,交通意外,將軍澳道去觀塘,清理
2015,8,4,18,29,交通意外,將軍澳道去觀塘,最新
2015,8,4,18,28,交通意外,粉嶺公路去上水,跟進
2015,8,4,17,59,交通意外,粉嶺公路去上水,最新
2015,8,4,17,57,交通意外,漆咸道北去油麻地,清理
2015,8,4,17,32,交通意外,漆咸道北去油麻地,最新
2015,8,4,15,56,交通意外,粉嶺公路去上水,清理
2015,8,4,15,34,交通意外,粉嶺公路去上水,最新
2015,8,4,15,31,交通意外,元朗朗天路去九龍,清理
2015,8,4,15,0,交通意外,元朗朗天路去九龍,最新
2017,1,3,16,36,修路工程,灣仔春園街去莊士敦道,最新
2017,1,3,16,31,交通意外,東區走廊去中環,最新
2017,1,3,16,11,交通意外,大埔道去旺角,清理
2017,1,3,16,8,交通意外,大埔道去旺角,最新
2017,1,3,16,6,交通意外,窩打老道去油麻地,清理
2017,1,3,15,16,交通意外,窩打老道去油麻地,最新
2017,1,3,14,59,修路工程,麼地道去紅磡,最新
2017,1,3,14,17,交通意外,洗衣街去亞皆老街,清理
2017,1,3,13,45,交通意外,洗衣街去亞皆老街,最新
2017,1,3,12,15,爆水管,工廠街去愛秩序街,最新
2017,1,3,11,50,壞車,城門隧道公路去大埔,清理
2017,1,3,10,45,交通意外,培正道去何文田,清理
2017,1,3,9,57,交通意外,青山公路去九龍,清理
2017,1,3,9,55,壞車,城門隧道公路去大埔,最新
2017,1,3,9,37,壞車,司徒拔道近港安醫院迴旋處,最新
2017,1,3,9,22,交通意外,東區走廊去中環,清理
2015,8,4,13,0,交通繁忙,海洋公園,最新
2015,8,4,11,43,壞車,東區海底隧道過海,清理
2015,8,4,11,20,壞車,東區海底隧道過海,跟進
2015,8,4,10,20,壞車,東區海底隧道過海,跟進
2015,8,4,10,15,交通意外,告士打道去中環,清理
2015,8,4,9,30,交通意外,告士打道去中環,跟進
2015,8,4,9,28,壞車,西貢公路去西貢,清理
2015,8,4,9,1,壞車,東區海底隧道過海,最新
2015,8,4,8,51,交通意外,龍翔道去荃灣,清理
2015,8,4,8,49,交通意外,龍翔道去荃灣,最新
2015,8,4,8,49,交通意外,告士打道去中環,最新
2015,8,4,8,26,壞車,西貢公路去西貢,最新
2015,8,4,8,20,交通意外,渡船街天橋去紅磡,清理
2015,8,4,8,5,交通意外,太子道東去觀塘,清理
2015,8,3,20,29,交通意外,夏愨道去紅棉路,清理
2015,8,3,20,4,交通意外,夏愨道去紅棉路,最新
2015,8,3,20,3,交通意外,太子道東去觀塘,最新
2015,8,3,19,59,交通意外,告士打道去北角,最新
2015,8,3,19,30,交通意外,觀塘道去旺角,清理
2015,8,3,19,30,交通意外,亞皆老街去九龍城,清理
2015,8,3,17,52,交通意外,荔枝角道去美孚,清理
2015,8,3,17,51,交通意外,彩虹道去鑽石山,清理
2015,8,3,17,50,交通意外,亞皆老街去九龍城,最新
2015,8,3,17,49,交通意外,觀塘道去旺角,最新
2015,8,3,17,30,交通意外,荔枝角道去美孚,最新
2015,8,3,17,29,交通意外,彩虹道去鑽石山,最新
2015,8,3,17,9,交通意外,啟德隧道去尖沙咀,清理
2015,8,3,17,8,交通意外,啟德隧道去尖沙咀,最新
2015,8,3,15,58,交通意外,屯門公路去屯門,清理
2015,8,3,15,27,交通意外,摩理臣山道去灣仔,清理
2015,8,3,11,55,交通意外,告士打道去北角,清理
2015,8,3,11,55,交通意外,渡船街天橋去紅磡,最新
2015,8,3,11,33,交通意外,窩打老道去尖沙咀,清理
2015,8,3,10,56,交通意外,窩打老道去尖沙咀,跟進
2015,8,3,8,26,交通意外,窩打老道去尖沙咀,最新
2015,8,3,7,55,交通意外,醫局街去界限街,清理
2015,8,3,7,25,交通意外,醫局街去界限街,最新
2015,8,2,17,23,交通意外,粉錦公路近哥爾夫球會,清理
2015,8,2,15,48,交通意外,長青隧道去機場,清理
2015,8,2,14,4,交通意外,堅尼地城海旁近山市街,清理
2015,8,2,13,42,交通意外,粉錦公路近哥爾夫球會,跟進
2015,8,2,13,40,交通意外,堅尼地城海旁近山市街,最新
2015,8,2,13,35,交通意外,長青隧道去機場,最新
2015,8,2,13,3,交通意外,粉錦公路近哥爾夫球會,最新
2015,8,2,12,59,爆水管,亞皆老街去大角咀,清理
2015,8,2,12,40,交通意外,屯門青田路去良景邨,清理
2015,8,2,10,3,交通意外,屯門公路去屯門,最新
2015,8,2,6,17,交通意外,摩理臣山道去灣仔,最新
2015,8,2,5,59,突發事件,紅磡道去尖沙咀,清理
2015,8,1,18,52,交通意外,屯門公路去屯門,最新
2015,8,1,18,26,交通意外,粉嶺公路去九龍,清理
2015,8,1,18,7,交通意外,粉嶺公路去九龍,跟進
2015,8,1,17,31,交通意外,觀塘繞道去將軍澳,清理
2015,8,1,16,43,交通意外,粉嶺公路去九龍,最新
2015,8,1,15,56,交通意外,觀塘繞道去將軍澳,最新
2015,8,1,15,45,爆水管,亞皆老街去大角咀,跟進
2015,8,1,15,9,爆水管,亞皆老街去大角咀,跟進
2015,8,1,15,0,交通意外,龍翔道去觀塘,清理
2015,8,1,14,14,交通意外,加士居道去油麻地,清理
2015,8,1,13,58,爆水管,亞皆老街去大角咀,最新
2015,8,1,13,57,交通意外,龍翔道去觀塘,跟進
2015,8,1,13,50,交通意外,加士居道去油麻地,最新
2015,8,1,13,36,交通意外,屯門青田路去良景邨,最新
2015,8,1,13,26,交通意外,屯門公路去屯門,清理
2015,8,1,13,0,交通意外,漆咸道北去尖沙咀,清理
2015,8,1,12,56,交通意外,漆咸道北去尖沙咀,最新
2015,8,1,12,40,火警,銅鑼灣糖街,清理
2015,8,1,11,19,火警,銅鑼灣糖街,最新
2015,8,1,10,46,突發事件,紅磡道去尖沙咀,最新
2015,8,1,10,30,爆水管,聯合道近賈炳達道,清理
2015,8,1,7,45,交通意外,長沙灣道去美孚,清理
2015,8,1,1,55,交通意外,青朗公路去九龍,清理
2015,8,1,1,19,交通意外,長沙灣道去美孚,最新
2015,8,1,1,19,交通意外,青朗公路去九龍,最新
2015,7,31,23,59,交通意外,啟德隧道去尖沙咀,清理
2015,7,31,22,30,交通意外,窩打老道去沙田,清理
2015,7,31,20,1,交通意外,屯門公路去屯門,清理
2015,7,31,19,57,交通意外,加士居道天橋去油麻地,清理
2015,7,31,19,57,交通意外,龍翔道去觀塘,最新
2015,7,31,19,49,交通意外,加士居道天橋去紅磡,最新
2015,7,31,19,36,交通意外,屯門公路去元朗,清理
2015,7,31,19,33,交通意外,啟德隧道去尖沙咀,最新
2015,7,31,19,30,交通意外,觀塘道去觀塘,清理
2015,7,31,19,10,交通意外,呈祥道去觀塘,清理
2015,7,31,19,5,交通意外,屯門公路去元朗,清理
2015,7,31,19,5,交通意外,屯門公路去元朗,最新
2015,7,31,19,0,交通意外,加士居道天橋去油麻地,最新
2015,7,31,18,59,交通意外,屯門公路去元朗,最新
2015,7,31,18,40,交通意外,龍翔道去荃灣,清理
2015,7,31,18,37,交通意外,呈祥道去觀塘,最新
2015,7,31,18,14,交通意外,觀塘道去觀塘,最新
2015,7,31,18,3,壞車,加士居道天橋去油麻地,清理
2015,7,31,18,1,交通意外,龍翔道去荃灣,最新
2015,7,31,17,58,壞車,將軍澳道去將軍澳,清理
2015,7,31,17,44,交通意外,屯門公路去屯門,最新
2015,7,31,17,37,交通意外,窩打老道去沙田,最新
2015,7,31,17,2,壞車,加士居道天橋去油麻地,最新
2015,7,31,16,57,障礙物,龍翔道去荃灣,清理
2015,7,31,16,56,交通意外,啟德隧道去觀塘,清理
2015,7,31,16,50,障礙物,龍翔道去荃灣,最新
2015,7,31,16,48,交通意外,龍翔道去觀塘,最新
2015,7,31,16,27,交通意外,啟德隧道去觀塘,跟進
2015,7,31,16,25,壞車,觀塘繞道去旺角,清理
2015,7,31,16,7,交通意外,公主道過海,清理
2015,7,31,15,40,交通意外,啟德隧道去觀塘,最新
2015,7,31,15,32,交通意外,公主道過海,最新
2015,7,31,15,20,壞車,觀塘繞道去旺角,最新
2015,7,31,15,0,交通意外,德士古道去青衣,清理
2015,7,31,14,45,交通意外,告士打道去北角,清理
2015,7,31,13,25,交通意外,德士古道去青衣,最新
2015,7,31,13,0,交通意外,龍翔道去觀塘,清理
2015,7,31,12,38,壞車,將軍澳道去將軍澳,最新
2015,7,31,11,12,交通意外,東區走廊去中環,清理
2015,7,31,9,34,障礙物,龍翔道去觀塘,清理
2015,7,31,9,27,交通意外,漆咸道北去油麻地,跟進
2015,7,31,9,20,壞車,加士居道天橋去紅磡,清理
2015,7,31,9,0,壞車,城門隧道去荃灣,清理
2015,7,31,8,57,障礙物,龍翔道去觀塘,最新
2015,7,31,8,48,交通意外,青馬大橋去機場,清理
2015,7,31,8,40,壞車,加士居道天橋去紅磡,跟進
2015,7,31,8,31,交通意外,東區走廊去中環,最新
2015,7,31,8,24,交通意外,漆咸道北去油麻地,最新
2015,7,31,8,22,壞車,城門隧道去荃灣,最新
2015,7,31,8,18,壞車,加士居道天橋去紅磡,最新
2015,7,31,8,10,交通意外,青馬大橋去機場,跟進
2015,7,31,8,0,交通意外,青馬大橋去機場,最新
2015,7,31,7,39,交通意外,告士打道去北角,最新
2015,7,31,7,24,交通意外,漆咸道北去油麻地,清理
2015,7,31,5,59,交通意外,窩打老道去沙田,最新
2015,7,30,23,49,交通意外,窩打老道去沙田,清理
2015,7,30,22,40,交通意外,窩打老道去沙田,最新
2015,7,30,18,57,交通意外,公主道過海,清理
2015,7,30,18,36,交通意外,公主道過海,跟進
2015,7,30,17,54,交通意外,公主道過海,最新
2015,7,30,17,27,修路工程,馬鞍山恆康街,清理
2015,7,30,17,4,壞車,龍翔道去荃灣,清理
2015,7,30,16,14,壞車,龍翔道去荃灣,最新
2015,7,30,15,56,修路工程,東區走廊去中環,最新
2015,7,30,15,21,交通意外,亞皆老街去大角咀,清理
2015,7,30,13,15,交通意外,紅磡民裕街近民樂街,清理
2015,7,30,12,54,交通意外,亞皆老街去大角咀,最新
2015,7,30,12,43,突發事件,元朗公路去上水,清理
2015,7,30,12,20,修路工程,東區走廊去中環,清理
2015,7,30,12,9,交通意外,窩打老道去沙田,清理
2015,7,30,11,37,交通意外,紅磡民裕街近民樂街,跟進
2015,7,30,11,20,壞車,太子道東去旺角,清理
2015,7,30,10,50,交通意外,龍翔道去荃灣,清理
2015,7,30,10,15,壞車,太子道東去旺角,最新
2015,7,30,9,53,交通意外,汀九橋去九龍,清理
2015,7,30,9,51,交通意外,紅磡民裕街近民樂街,最新
2015,7,30,9,40,交通意外,汀九橋去九龍,最新
2015,7,30,9,37,壞車,維園道去北角,清理
2015,7,30,9,20,交通意外,龍翔道去荃灣,最新
2015,7,30,9,4,壞車,龍翔道去順利,清理
2015,7,30,8,50,壞車,維園道去北角,跟進
2015,7,30,8,36,壞車,維園道去北角,最新
2015,7,30,8,35,壞車,龍翔道去順利,最新
2015,7,30,7,59,爆水管,聯合道近賈炳達道,最新
2015,7,30,7,25,突發事件,元朗公路去上水,最新
2015,7,30,6,35,修路工程,馬鞍山恆康街,最新
2017,1,3,9,7,交通意外,培正道去何文田,最新
2017,1,3,9,1,壞車,青山公路去九龍,最新
2017,1,3,8,48,交通意外,屯門公路去九龍,跟進
2017,1,3,8,40,交通意外,告士打道去灣仔碼頭,清理
2017,1,3,8,31,壞車,荔橋去旺角,最新
2017,1,3,8,28,交通意外,屯門公路去九龍,跟進
2017,1,3,8,20,交通意外,告士打道去灣仔碼頭,最新
2017,1,3,8,2,交通意外,屯門公路去九龍,最新
2017,1,3,7,49,修路工程,窩打老道去尖沙咀,清理
2017,1,3,7,40,交通意外,沙田路去大埔,清理
2017,1,3,6,31,交通意外,沙田路去大埔,最新
2017,1,2,23,25,交通意外,亞皆老街去旺角,清理
2017,1,2,22,35,交通意外,窩打老道去尖沙咀,清理
2017,1,2,19,55,交通意外,亞皆老街去旺角,最新
2017,1,2,18,46,交通意外,屯門公路去九龍,清理
2017,1,2,18,40,壞車,荔橋去旺角,清理
2015,7,29,19,56,交通意外,屯門公路去屯門,清理
2015,7,29,19,54,交通意外,吐露港公路去九龍,最新
2015,7,29,19,52,交通意外,軒尼詩道去北角,最新
2015,7,29,19,35,交通意外,屯門公路去屯門,跟進
2015,7,29,19,27,壞車,龍翔道去荃灣,清理
2015,7,29,19,25,交通意外,大埔公路去大圍,清理
2015,7,29,19,22,交通意外,屯門公路去屯門,最新
2015,7,29,19,19,壞車,龍翔道去荃灣,最新
2015,7,29,19,5,交通意外,大埔公路去大圍,跟進
2015,7,29,19,3,交通意外,大埔公路去大圍,跟進
2015,7,29,19,2,交通意外,大埔公路去大圍,最新
2015,7,29,18,29,交通意外,窩打老道去沙田,清理
2015,7,29,17,58,交通意外,皇后大道東去跑馬地,清理
2015,7,29,15,45,交通意外,窩打老道去沙田,跟進
2015,7,29,15,25,交通意外,吐露港公路去九龍,清理
2015,7,29,15,23,交通意外,軒尼詩道去北角,清理
2015,7,29,15,6,交通意外,窩打老道去沙田,跟進
2015,7,29,14,55,交通意外,窩打老道去沙田,最新
2015,7,29,14,27,交通意外,彌敦道去尖沙咀,清理
2015,7,29,14,11,交通意外,彌敦道去尖沙咀,最新
2015,7,29,12,55,交通意外,彌敦道去尖沙咀,清理
2015,7,29,12,39,交通意外,彌敦道去尖沙咀,最新
2015,7,29,11,50,壞車,將軍澳道去將軍澳,清理
2015,7,29,10,46,壞車,觀塘繞道去油塘,清理
2015,7,29,10,40,交通意外,將軍澳隧道公路去觀塘,清理
2015,7,29,10,7,壞車,將軍澳道去將軍澳,最新
2015,7,29,10,5,交通意外,將軍澳道去將軍澳,清理
2015,7,29,10,2,交通意外,觀塘道去旺角,清理
2015,7,29,10,0,壞車,龍翔道去觀塘,清理
2015,7,29,9,47,交通意外,將軍澳隧道公路去觀塘,最新
2015,7,29,9,46,交通意外,窩打老道去沙田,跟進
2015,7,29,9,42,交通意外,皇后大道東去跑馬地,最新
2015,7,29,9,38,交通意外,觀塘道去旺角,最新
2015,7,29,9,12,壞車,龍翔道去觀塘,最新
2015,7,29,8,54,交通意外,公主道過海,清理
2015,7,29,8,53,交通意外,呈祥道去觀塘,清理
2015,7,29,8,39,交通意外,公主道過海,最新
2015,7,29,8,37,交通意外,呈祥道去觀塘,最新
2015,7,29,8,8,爆水管,干諾道中去灣仔,清理
2015,7,29,7,52,爆水管,內告士打道去中環,清理
2015,7,29,5,50,交通意外,告士打道去北角,清理
2015,7,29,5,32,交通意外,告士打道去北角,最新
2015,7,28,20,51,爆水管,內告士打道去中環,最新
2015,7,28,20,30,交通意外,觀塘道去油塘,清理
2015,7,28,19,1,交通意外,觀塘道去油塘,最新
2015,7,28,18,58,交通意外,屯門公路去九龍,清理
2015,7,28,18,39,交通意外,將軍澳道去將軍澳,最新
2015,7,28,16,56,壞車,觀塘繞道去油塘,最新
2015,7,28,16,36,交通意外,呈祥道去觀塘,最新
2015,7,28,16,35,交通意外,屯門公路去九龍,跟進
2015,7,28,16,2,交通意外,屯門公路去九龍,最新
2015,7,28,16,1,交通意外,獅子山隧道去沙田,清理
2015,7,28,15,33,壞交通燈,亞皆老街近上海街,最新
2015,7,28,13,23,交通意外,獅子山隧道去沙田,跟進
2015,7,28,13,10,交通意外,東區走廊去柴灣,清理
2015,7,28,11,54,交通意外,獅子山隧道去沙田,最新
2015,7,28,11,37,壞車,窩打老道去九龍塘,清理
2015,7,28,11,27,交通意外,東區走廊去柴灣,跟進
2015,7,28,11,12,爆水管,干諾道中去灣仔,最新
2015,7,28,10,51,交通意外,東區走廊去柴灣,最新
2015,7,28,10,50,壞車,窩打老道去九龍塘,最新
2015,7,28,10,31,交通意外,新清水灣道去西貢,清理
2015,7,28,10,29,交通意外,屯門公路去九龍,跟進
2015,7,28,10,12,交通意外,呈祥道去觀塘,清理
2015,7,28,9,31,壞車,花園道落山方向,清理
2015,7,28,9,22,交通意外,東京街去南昌邨,清理
2015,7,28,9,5,交通意外,佐敦道去紅磡,最新
